,probeid,latlon,tz
0,10006,52.3805;4.9275,Europe/Amsterdam
1,10007,38.3205;-122.3225,America/Los_Angeles
2,10010,52.3475;4.9175,Europe/Amsterdam
3,10012,52.3685;4.8975,Europe/Amsterdam
4,10013,52.3685;5.2175,Europe/Amsterdam
5,10015,52.3695;5.2175,Europe/Amsterdam
6,10022,51.2285;6.0385,Europe/Amsterdam
7,10028,50.1115;8.6685,Europe/Berlin
8,10046,52.0905;5.1195,Europe/Amsterdam
9,10048,50.9415;-1.4405,Europe/London
10,10089,51.5415;-0.0885,Europe/London
11,10099,33.8415;-84.3385,America/New_York
12,10101,52.3575;4.6075,Europe/Amsterdam
13,10108,51.5315;-0.0725,Europe/London
14,10138,42.3815;-71.0915,America/New_York
15,10142,51.7385;-1.2605,Europe/London
16,10151,50.9375;-1.2005,Europe/London
17,10208,52.0615;4.9175,Europe/Amsterdam
18,10223,50.6185;3.0585,Europe/Paris
19,10227,51.2705;4.7085,Europe/Brussels
20,10251,49.0375;12.0995,Europe/Berlin
21,10267,46.8305;-1.8995,Europe/Paris
22,10273,52.3085;4.8705,Europe/Amsterdam
23,10286,39.0305;-87.1685,America/Indiana/Indianapolis
24,10318,39.9515;-75.1625,America/New_York
25,10322,42.0385;-71.0615,America/New_York
26,10328,39.9515;-75.1715,America/New_York
27,10333,39.9485;-75.1615,America/New_York
28,10350,37.6875;-77.3405,America/New_York
29,10355,39.9195;-75.3905,America/New_York
30,10357,39.0705;-75.6305,America/New_York
31,10360,40.0375;-76.3095,America/New_York
32,10378,39.0515;-77.4895,America/New_York
33,10381,37.5575;-122.3285,America/Los_Angeles
34,10399,40.1415;-75.5485,America/New_York
35,10459,42.2215;-86.3005,America/Detroit
36,10482,39.8585;-75.3385,America/New_York
37,10485,40.0095;-74.9285,America/New_York
38,10486,48.2905;-122.6385,America/Los_Angeles
39,10490,39.9475;-75.1585,America/New_York
40,10491,39.9475;-75.1585,America/New_York
41,10515,26.6395;-80.1425,America/New_York
42,10517,42.5905;-83.1825,America/Detroit
43,10518,45.0315;-93.3625,America/Chicago
44,10540,42.0075;-88.1105,America/Chicago
45,10544,42.0695;-87.6905,America/Chicago
46,10545,41.3195;-88.1405,America/Chicago
47,10546,19.7305;-155.0905,Pacific/Honolulu
48,10550,47.7675;-117.3605,America/Los_Angeles
49,10553,41.3685;-73.4105,America/New_York
50,10556,41.8505;-87.9605,America/Chicago
51,10557,40.2005;-77.1905,America/New_York
52,10559,42.9815;-82.4305,America/Detroit
53,10561,39.0575;-75.4895,America/New_York
54,10562,42.0285;-87.6895,America/Chicago
55,10576,38.8105;-77.5995,America/New_York
56,10579,42.8015;-83.0095,America/Detroit
57,10581,42.6875;-83.4085,America/Detroit
58,10583,33.9885;-83.8985,America/New_York
59,10599,39.5815;-74.2285,America/New_York
60,10632,51.2785;-0.9515,Europe/London
61,10637,41.1805;-111.9115,America/Denver
62,10645,48.8295;2.2995,Europe/Paris
63,10673,49.4885;0.8005,Europe/Paris
64,10678,51.6415;7.8505,Europe/Berlin
65,10694,38.9695;-77.3885,America/New_York
66,10733,50.8285;4.7185,Europe/Brussels
67,10738,49.7915;9.6185,Europe/Berlin
68,10743,47.6185;-122.3105,America/Los_Angeles
69,10751,39.1075;-77.0005,America/New_York
70,10755,51.9395;7.6295,Europe/Berlin
71,10811,48.8875;9.1975,Europe/Berlin
72,10816,48.7605;2.0375,Europe/Paris
73,10826,50.0005;8.8785,Europe/Berlin
74,10884,42.3195;-71.4385,America/New_York
75,10920,48.3375;10.4485,Europe/Berlin
76,10923,49.3685;6.1085,Europe/Paris
77,10952,43.6085;3.8895,Europe/Paris
78,10953,50.2585;-5.0505,Europe/London
79,10963,37.7485;-122.4195,America/Los_Angeles
80,10978,50.5915;9.5405,Europe/Berlin
81,10982,47.6485;6.8615,Europe/Paris
82,10998,51.0415;5.2415,Europe/Brussels
83,11010,39.9175;-75.3925,America/New_York
84,11022,47.2585;-1.6315,Europe/Paris
85,11036,52.2105;1.5685,Europe/London
86,11069,49.8815;11.0205,Europe/Berlin
87,11075,52.2695;8.8305,Europe/Berlin
88,11105,43.2995;-0.3725,Europe/Paris
89,11118,49.6815;5.8175,Europe/Brussels
90,11134,53.3495;-6.2615,Europe/Dublin
91,11144,51.9195;4.4795,Europe/Amsterdam
92,11162,51.0185;3.9605,Europe/Brussels
93,11179,51.5115;-0.1195,Europe/London
94,11189,50.9515;5.2715,Europe/Brussels
95,11194,48.9995;8.3715,Europe/Berlin
96,11210,52.4575;13.6975,Europe/Berlin
97,11220,51.8775;5.9685,Europe/Amsterdam
98,11243,48.6685;7.8195,Europe/Paris
99,11264,51.0595;8.8005,Europe/Berlin
100,11272,51.0385;3.7205,Europe/Brussels
101,11296,48.2705;8.8515,Europe/Berlin
102,11323,50.9585;4.2285,Europe/Brussels
103,11334,50.4195;9.5585,Europe/Berlin
104,11461,51.1375;-0.4795,Europe/London
105,11484,51.1795;4.8415,Europe/Brussels
106,11536,37.3905;-122.0815,America/Los_Angeles
107,11540,52.3675;4.8995,Europe/Amsterdam
108,11550,38.9675;-77.3105,America/New_York
109,11571,51.0475;3.7005,Europe/Brussels
110,11573,51.0285;4.1105,Europe/Brussels
111,11577,51.1505;4.4305,Europe/Brussels
112,11578,51.0515;3.7305,Europe/Brussels
113,11587,51.1505;3.5715,Europe/Brussels
114,11632,47.2085;-1.5315,Europe/Paris
115,11633,50.9985;4.8685,Europe/Brussels
116,11663,51.1285;4.3405,Europe/Brussels
117,11667,51.2105;4.2305,Europe/Brussels
118,11671,52.0875;5.1105,Europe/Amsterdam
119,11678,51.0515;3.6505,Europe/Brussels
120,11703,51.0685;4.0275,Europe/Brussels
121,11720,48.8775;2.3785,Europe/Paris
122,11722,45.1785;5.7585,Europe/Paris
123,11738,51.1915;5.0485,Europe/Brussels
124,11748,52.0815;4.3195,Europe/Amsterdam
125,11765,40.5495;-80.1895,America/New_York
126,11790,43.5975;1.4415,Europe/Paris
127,11799,49.4015;8.8015,Europe/Berlin
128,11800,49.3975;8.6875,Europe/Berlin
129,11812,41.8885;-84.6325,America/Detroit
130,11814,34.0895;-117.7125,America/Los_Angeles
131,11815,48.1295;11.5375,Europe/Berlin
132,11828,49.7715;4.7085,Europe/Paris
133,11833,51.1985;4.3985,Europe/Brussels
134,11835,51.0795;3.6885,Europe/Brussels
135,11841,50.6875;3.1495,Europe/Paris
136,11842,37.3385;-121.8905,America/Los_Angeles
137,11870,52.1275;5.1505,Europe/Amsterdam
138,11909,51.3815;7.7975,Europe/Berlin
139,11914,53.8295;-1.1325,Europe/London
140,11924,51.6595;6.6585,Europe/Berlin
141,11936,49.0105;8.3785,Europe/Berlin
142,11939,51.0915;4.9085,Europe/Brussels
143,11952,50.0185;8.7895,Europe/Berlin
144,11974,50.7395;7.1505,Europe/Berlin
145,11985,40.1795;-75.5385,America/New_York
146,11989,37.4015;-122.0985,America/Los_Angeles
147,11997,50.4205;-5.0685,Europe/London
148,11999,51.3715;0.0715,Europe/London
149,12012,40.4485;-74.3925,America/New_York
150,12014,47.3295;5.0775,Europe/Paris
151,12016,42.3705;-71.0425,America/New_York
152,12020,49.3875;2.1385,Europe/Paris
153,12033,48.6985;2.1085,Europe/Paris
154,12037,45.7805;3.0885,Europe/Paris
155,12049,52.2315;-0.2505,Europe/London
156,12060,42.0375;-88.2795,America/Chicago
157,12070,33.8275;-84.5395,America/New_York
158,12111,51.6575;6.4475,Europe/Berlin
159,12115,40.6995;-74.2625,America/New_York
160,12116,34.0005;-118.4625,America/Los_Angeles
161,12119,39.4515;-76.6525,America/New_York
162,12134,32.7895;-115.5615,America/Los_Angeles
163,12142,48.8885;2.3195,Europe/Paris
164,12144,33.7495;-84.3905,America/New_York
165,12154,32.7795;-117.1505,America/Los_Angeles
166,12155,40.7095;-73.3805,America/New_York
167,12166,41.8305;-86.2495,America/Detroit
168,12173,47.2285;8.8205,Europe/Zurich
169,12177,50.9605;9.7605,Europe/Berlin
170,12180,36.0575;-86.9385,America/Chicago
171,12185,37.8795;-122.2785,America/Los_Angeles
172,12215,37.7695;-122.4525,America/Los_Angeles
173,12225,49.8595;8.6485,Europe/Berlin
174,12234,55.7495;-3.3515,Europe/London
175,12237,51.0205;3.7185,Europe/Brussels
176,12239,48.7415;9.0885,Europe/Berlin
177,12266,51.2005;4.4405,Europe/Brussels
178,12274,39.2995;-76.6095,America/New_York
179,12297,40.3605;-74.6685,America/New_York
180,12298,52.5415;13.4015,Europe/Berlin
181,12299,37.3915;-122.0785,America/Los_Angeles
182,12303,37.0885;-95.7125,America/Chicago
183,12313,50.6785;3.1775,Europe/Paris
184,12317,52.0205;-0.2325,Europe/London
185,12329,46.5315;5.4885,Europe/Paris
186,12339,48.6715;6.1485,Europe/Paris
187,12360,48.7475;2.3005,Europe/Paris
188,12374,51.8795;-2.0395,Europe/London
189,12382,51.2185;4.4015,Europe/Brussels
190,12392,48.8485;2.6415,Europe/Paris
191,12438,46.3115;4.8385,Europe/Paris
192,12452,41.8485;-87.7905,America/Chicago
193,12454,47.5495;21.5995,Europe/Budapest
194,12459,39.1015;-77.5705,America/New_York
195,12474,48.7995;2.3605,Europe/Paris
196,12479,51.7515;-1.2595,Europe/London
197,12517,37.8705;-122.2725,America/Los_Angeles
198,12518,40.1215;-74.6525,America/New_York
199,12521,45.5175;-122.9915,America/Los_Angeles
200,12533,38.8585;-94.4115,America/Chicago
201,12565,40.6495;-111.9695,America/Denver
202,12609,39.8815;-105.1025,America/Denver
203,12611,47.9675;-122.2125,America/Los_Angeles
204,12620,30.0075;-95.4615,America/Chicago
205,12621,39.2575;-123.2215,America/Los_Angeles
206,12652,47.7185;-122.1905,America/Los_Angeles
207,12655,37.3995;-121.8605,America/Los_Angeles
208,12671,37.3375;-121.8895,America/Los_Angeles
209,12677,39.7705;-121.6095,America/Los_Angeles
210,12680,44.9575;-93.2685,America/Chicago
211,12681,47.6775;-122.3885,America/Los_Angeles
212,12684,41.5095;-73.5685,America/New_York
213,12686,41.6205;-73.7085,America/New_York
214,12695,39.9195;-75.3885,America/New_York
215,12703,51.0585;5.2075,Europe/Brussels
216,12732,51.8085;-0.8415,Europe/London
217,12735,19.6695;-155.9815,Pacific/Honolulu
218,12736,51.2105;4.4285,Europe/Brussels
219,12755,50.9395;-1.4005,Europe/London
220,12760,45.9175;6.1305,Europe/Paris
221,12774,47.2995;-1.5495,Europe/Paris
222,12788,37.7815;-122.4885,America/Los_Angeles
223,12800,43.5975;1.4375,Europe/Paris
